Ext.1(Strain)	Stress	
%	        N/mm2
1.310921	249.8638
1.315126	249.9312
1.314832	249.9716
1.314588	250.0669
1.311821	250.098
1.31743	250.1674
1.322308	250.2301
1.324099	250.2953
1.322367	250.329
1.324772	250.4114
1.327934	250.4616
1.328211	250.5279
1.33044	250.5808
1.332685	250.6383
1.336452	250.675
1.33752	250.7517
1.340447	250.8134
1.341111	250.861
1.344584	250.9325
1.346493	251.0081
1.346619	251.0568
1.348007	251.1174
1.353195	251.1827
1.353044	251.234
1.356029	251.3096
1.357787	251.3537
1.360427	251.42
1.361218	251.4749
1.360882	251.5298
1.36427	251.5987
1.366827	251.6666
1.370367	251.6893
1.371418	251.795
1.371343	251.8277
1.372175	251.8924
1.373042	251.952
1.376767	251.9965
1.379113	252.0732
1.378045	252.139
1.381459	252.2058
1.384293	252.2727
1.386757	252.3198
1.385765	252.3742
1.388448	252.4223
1.391837	252.4845
1.393459	252.5368
1.394427	252.6052
1.395587	252.6601
1.399497	252.7078
1.400557	252.786
1.401415	252.8435
1.404165	252.8886
1.407419	252.9497
1.406519	253
1.40551	253.0538
1.408748	253.1181
1.410085	253.2129
1.415231	253.2465
1.417182	253.3025
1.419478	253.3812
1.419655	253.4144
1.421496	253.4853
1.422775	253.5123
1.425491	253.6014
1.427131	253.6459
1.427745	253.7014
1.429704	253.7677
1.430007	253.8153
1.430511	253.8977
1.435321	253.9402
1.437138	254.008
1.438979	254.0655
1.44157	254.1494
1.44241	254.1748
1.441359	254.2546
1.44331	254.2981
1.446994	254.3712
1.448028	254.4204
1.448112	254.4717
1.451837	254.5457
1.454343	254.5867
1.459582	254.6561
1.457774	254.696
1.457556	254.7701
1.461004	254.8192
1.463619	254.8788
1.464384	254.9514
1.467723	254.9985
1.46948	255.056
1.47144	255.127
1.470506	255.1834
1.474753	255.2409
1.476637	255.2995
1.479614	255.3518
1.480051	255.4052
1.479504	255.4673
1.481741	255.5145
1.486543	255.5875
1.486787	255.6434
1.489545	255.6937
1.489385	255.7413
1.493809	255.8004
1.493859	255.8595
1.493144	255.9423
1.495659	255.9796
1.496828	256.0325
1.501671	256.1076
1.502083	256.1827
1.503757	256.2184
1.508971	256.2868
1.509114	256.3433
1.511611	256.4013
1.512864	256.4448
1.513613	256.4925
1.515126	256.565
1.515522	256.6127
1.522131	256.6821
1.525108	256.7354
1.525352	256.7618
1.526134	256.8484
1.527623	256.9012
1.529935	256.9742
1.531945	257.011
1.531617	257.0695
1.534762	257.1535
1.536057	257.1939
1.538942	257.2607
